iter	Passed	Remaining
0	2	640
1	3	595
2	5	581
3	7	576
4	9	576
5	11	581
6	14	592
7	18	670
8	20	658
9	22	652
10	24	651
11	26	643
12	28	637
13	30	628
14	33	629
15	35	625
16	37	619
17	39	611
18	40	605
19	43	603
20	45	598
21	47	596
22	49	591
23	51	589
24	53	584
25	55	581
26	57	578
27	59	575
28	61	572
29	63	569
30	65	564
31	67	561
32	69	558
33	70	554
34	72	550
35	75	553
36	77	554
37	79	550
38	82	549
39	84	547
40	86	545
41	88	543
42	90	540
43	92	540
44	95	539
45	97	537
46	99	536
47	101	535
48	103	532
49	106	530
50	107	526
51	109	524
52	111	520
53	113	516
54	115	513
55	117	510
56	118	506
57	120	503
58	122	500
59	124	497
60	126	494
61	127	491
62	129	487
63	131	484
64	133	483
65	135	481
66	137	477
67	139	475
68	141	472
69	143	470
70	145	468
71	147	466
72	149	463
73	150	460
74	152	458
75	154	455
76	156	453
77	158	451
78	160	450
79	163	448
80	164	445
81	166	442
82	168	440
83	170	437
84	171	434
85	173	431
86	175	429
87	176	426
88	178	423
89	180	420
90	181	417
91	183	415
92	185	412
93	186	409
94	188	406
95	190	405
96	192	402
97	193	399
98	195	396
99	197	394
100	198	391
101	200	388
102	201	385
103	203	383
104	205	380
105	206	378
106	208	376
107	210	374
108	212	371
109	213	369
110	215	366
111	217	364
112	218	362
113	220	360
114	222	358
115	224	356
116	226	353
117	228	351
118	229	349
119	231	347
120	233	345
121	235	343
122	237	341
123	238	339
124	240	336
125	242	334
126	243	332
127	245	330
128	247	327
129	249	325
130	250	323
131	252	321
132	254	319
133	255	317
134	257	314
135	259	312
136	260	310
137	262	308
138	264	306
139	266	304
140	269	303
141	271	301
142	273	299
143	275	298
144	277	296
145	279	294
146	281	292
147	283	290
148	285	289
149	287	287
150	289	285
151	291	283
152	293	281
153	295	279
154	297	277
155	299	276
156	300	274
157	302	272
158	304	270
159	306	268
160	308	266
161	310	264
162	312	262
163	314	260
164	315	258
165	317	256
166	319	254
167	321	252
168	323	250
169	325	249
170	327	247
171	329	245
172	331	243
173	333	241
174	335	239
175	337	237
176	339	235
177	341	233
178	342	231
179	344	229
180	346	227
181	348	225
182	350	223
183	352	221
184	353	219
185	355	218
186	357	216
187	359	214
188	361	212
189	363	210
190	365	208
191	367	206
192	369	204
193	371	202
194	373	200
195	375	199
196	377	197
197	379	195
198	381	193
199	383	191
200	385	189
201	387	188
202	389	186
203	391	184
204	393	182
205	396	180
206	398	178
207	399	176
208	402	175
209	404	173
210	406	171
211	408	169
212	410	167
213	412	165
214	414	163
215	416	161
216	418	159
217	420	158
218	422	156
219	424	154
220	425	152
221	427	150
222	429	148
223	431	146
224	433	144
225	435	142
226	436	140
227	438	138
228	440	136
229	442	134
230	443	132
231	445	130
232	447	128
233	448	126
234	450	124
235	452	122
236	454	120
237	456	118
238	458	116
239	460	115
240	462	113
241	463	111
242	465	109
243	467	107
244	469	105
245	471	103
246	473	101
247	475	99
248	477	97
249	479	95
250	481	94
251	483	92
252	485	90
253	487	88
254	489	86
255	491	84
256	492	82
257	494	80
258	496	78
259	498	76
260	500	74
261	502	72
262	504	70
263	506	69
264	508	67
265	510	65
266	512	63
267	514	61
268	516	59
269	518	57
270	520	55
271	521	53
272	523	51
273	525	49
274	527	47
275	529	46
276	531	44
277	533	42
278	535	40
279	537	38
280	539	36
281	541	34
282	543	32
283	544	30
284	546	28
285	548	26
286	550	24
287	552	23
288	554	21
289	556	19
290	558	17
291	560	15
292	561	13
293	563	11
294	564	9
295	566	7
296	568	5
297	570	3
298	572	1
299	574	0
